State,COPD_Cost,Diabetes_Cost,Heart_Failure_Cost,COPD_Discharges,Diabetes_Discharges,Heart_Failure_Discharges
AK,16610.59999998182,12859.014705970587,16814.91016944407,110,68,590
AL,8025.652398537417,8570.195906429824,9643.388742253981,1355,684,4548
AR,7521.35223160386,8574.209580858484,8912.169380180434,829,501,3501
AZ,8773.520249228453,9925.730188686981,10827.994526978597,963,530,5116
CA,11831.60924976337,13126.219393951977,14486.320625134018,4865,4125,28538
CO,10360.385826706299,10710.440789690789,10798.765909061705,381,152,2640
CT,11154.817819150665,12180.106457280104,13535.904184473347,752,573,4206
DC,13002.272727076923,15267.174603301588,15562.930795697923,143,126,867
DE,9122.795677850097,11485.579710118478,11539.787047188036,509,276,1822
FL,8508.778213284257,9271.488252418416,10210.235043767683,6123,4469,24672
GA,9458.200316272852,11205.224278322501,11381.349287159053,1897,1351,9820
HI,13954.806451806453,14254.18867926415,16125.346253210595,93,53,774
IA,7649.520874774553,8373.541528186046,9211.883168293862,503,301,3030
ID,8915.350515518556,9378.537190106612,10710.152901843861,97,121,896
IL,9236.274339024076,10247.089430871907,11312.834180441361,3215,2214,16723
IN,8092.2092161057735,8573.34106964016,9810.823111523207,1888,991,8446
KS,8429.964010264783,9488.462184791317,9729.170197531346,389,357,2785
KY,7663.723241590444,8536.795158280447,9191.47150056303,1308,537,5158
LA,7758.307236055516,9428.190559418355,9687.7659402637,843,572,4956
MA,9921.539029201675,10728.195172026759,12564.208811316434,3523,1947,12030
MD,13687.819563716952,14998.089483985761,15313.196374654768,3026,1531,8275
ME,9444.381578998025,10099.921052744736,11930.898496234397,152,76,1064
MI,8726.45999226575,9729.836526201023,10717.767187201465,2587,1566,10502
MN,9716.162866452443,10876.87429646773,11600.503150256593,614,533,4444
MO,8086.3433261849395,9374.432075432074,9946.561197744004,1401,1060,7247
MS,7628.981699336471,8564.761363613068,9250.252658900909,765,528,3855
MT,8375.706976739535,8792.538461350001,9764.495575264822,215,26,904
NC,8879.30472441449,9924.510585311456,10730.988836955175,2540,1606,10481
ND,8382.341463411707,9187.172661786331,9983.595363562697,205,139,949
NE,8571.826589595954,10043.793333248666,10263.82934968827,346,150,1799
NH,8347.550660794714,9779.084905592925,10663.200000024637,227,212,1855
NJ,10081.751850754012,11211.671915975958,12586.551638346105,3377,1905,12055
NM,9961.839024330733,10535.180616677533,10812.376521542348,205,227,1150
NV,10597.731764770822,11019.133587767557,11845.551624838585,425,524,2431
NY,12059.388801079023,14091.095601200146,14991.233962689996,4429,3410,18114
OH,8863.00234742495,9307.398898048208,10365.912172141556,2982,1815,13572
OK,8288.589901459853,9374.663822520648,9600.877209316373,812,586,4300
OR,10644.454258715457,11289.392226101061,12919.246531982164,317,283,2523
PA,9119.607494452302,10116.357209769476,11021.681673962461,3149,2136,16703
RI,9961.131805289111,11084.733944962385,11662.606278066009,349,109,1115
SC,8533.207142864694,9449.382417578572,10203.300672276924,980,910,5950
SD,8906.066666693334,9760.410071953957,11063.4509414445,120,139,1009
TN,8483.616968685255,9139.558390574583,9966.31053296608,1214,1019,7149
TX,9872.306151130053,11422.323153657744,11478.469114971856,2845,3209,20722
UT,10825.592232928155,12441.783783689189,11390.091997042782,103,74,1337
VA,8758.146417453843,9646.953532783067,10644.301282043887,1926,1571,10764
VT,7418.5119999871995,7665.647058827451,8584.82244556114,125,51,597
WA,10045.148148142129,11169.884858022082,11507.35511513669,432,634,5601
WI,8858.610197324342,10197.15406983343,10681.995619856521,608,344,5251
WV,7865.825229937056,9138.965879227035,9830.967802147505,761,381,2143
WY,11634.183783902703,10966.53846154359,13490.079646055929,185,78,565
