State,PredictedRate,ExpectedRate,Excess_Readmission_Ratio,Number of Discharges
AK,13.547090291970012,13.818951827068826,0.9815625690215534,4031.0
AL,13.720467184320958,13.55113512802005,1.019430503452855,35359.0
AR,13.175265707686643,13.239502811697248,0.9493719885403973,31207.0
AZ,12.990943472515902,12.997444101548197,0.9843285688375226,43529.0
CA,14.481284194645704,14.302888780176668,0.9919429562930883,176090.0
CO,12.673581136781019,13.031403998203979,0.9816855804432313,17494.0
CT,14.065063792078902,13.979898221080667,0.9980405695916478,29613.0
DC,17.02490982613684,17.06110654389152,0.9921624476452738,5868.0
DE,14.357488718395029,15.033856534030472,0.947852057652077,11814.0
FL,14.673227641171641,14.293010543868512,1.0346126492286296,194338.0
GA,15.613936416003943,15.57717218094651,1.003020226212108,60644.0
HI,14.566488601105075,14.612812644623308,0.9996910473245988,5074.0
IA,12.945157746356381,13.236270140764196,0.9743905581783655,24155.0
ID,13.281930782506967,14.486671658491327,0.9266581337075201,6972.0
IL,14.502504099647373,14.240517876770062,1.0195880766453644,117243.0
IN,13.880890955774802,13.90327427321816,0.985788659950615,62294.0
KS,13.049572741101679,13.700265782863239,0.9284514565049053,26947.0
KY,14.595938608858566,14.25843423745271,1.041565043772145,40611.0
LA,13.960081634542917,13.751306596551052,1.019551008250831,30808.0
MA,14.448258340404072,13.815776660021115,1.0347263825239756,89270.0
MD,14.278693163596143,14.387177556942541,1.0162334626981846,53546.0
ME,12.507562898471763,13.594748124467808,0.9078376983777291,8219.0
MI,14.821002629061446,14.620224420299882,1.0139278756096928,71981.0
MN,13.240114468755545,13.749144995199542,0.9605997886759027,26334.0
MO,14.290228328621547,14.170278593661843,1.0179664311971397,51843.0
MS,13.952802691609456,13.638689020995486,1.0300209686691784,30072.0
MT,13.623673812229725,14.419847614736943,0.9490760062288144,7481.0
NC,13.349929429705277,13.615812572467744,0.9738420539873823,79683.0
ND,13.27485185620329,14.214987191292977,0.9120977505681691,7711.0
NE,12.790158442822394,13.424063437462964,0.9289481751953194,12920.0
NH,14.716510081970947,14.801016600114115,0.9983122613058629,13810.0
NJ,14.547037735119348,14.235686926185783,1.018335139554029,80445.0
NM,12.595796685564792,12.926547223912914,0.9862202462501118,8830.0
NV,14.80370879932488,14.335992946024541,1.03852502742251,17323.0
NY,14.347551454095553,14.229260320457655,0.9862504088851489,137889.0
OH,13.974449578623547,14.005183398034854,0.9854105517953015,88806.0
OK,13.722285530220597,13.95605079414401,0.9585354785711694,36340.0
OR,12.613434056690652,13.412814753031649,0.9392633530403666,16058.0
PA,13.888122588108066,13.740142544783259,1.006809449255935,107247.0
RI,13.728434335574157,13.56871396540357,0.9998991120668902,8235.0
SC,13.422618159163099,13.288082559088224,1.017235764751904,42598.0
SD,11.879362899230907,13.099776274576447,0.8997321830952728,8981.0
TN,13.873988155093471,13.813423560128285,1.0054451437864687,59296.0
TX,13.915715081525976,13.910576920116258,0.9866993568204219,158053.0
UT,12.498528649018555,13.578825988228525,0.962211533716237,8341.0
VA,13.574751917977922,13.722995703738642,0.9849440179769986,76228.0
VT,14.850103192612158,15.251965643080158,0.9578008812601689,4782.0
WA,13.389489723567088,13.562178838686116,1.0073165884450512,38795.0
WI,13.44776100807366,13.678798460996939,0.9741850706057344,31107.0
WV,14.950733656621225,14.531595564395753,1.0290436609282625,19313.0
WY,14.157743639675193,15.214054627172711,0.933364962960856,3483.0
